漢字		    かな			英語
駐車場			ちゅうしゃじょう			parking lot; parking garage
隅			すみ			corner; nook
首輪			くびわ			(animal) collar
飼い主			かいぬし			(pet) owner; keeper
賢い			かしこい			wise; clever; smart
被災者			ひさいしゃ			victem of (a disater)
停める			とめる			to stop; to turn off; to park
大震災			だいしんさい			great earthquake
地震			じしん			earthquake
避難所			ひなんじょ			shelter; safe shelter
共			とも			together; jointly
連れて行く			つれていく			to take (someone; to a place); to take along
寝泊まりする			ねとまりする			staying the night; lodging (at)
失う			うしなう			to lose
菓子			かし			sweets; candy
淹れる			いれる			to make (tea, coffee, etc)
灰皿			はいざら			ashtray
煙草			たばこ			tobacoo
火を点ける			ひをつける			to ignite; to set fire to
袋			ふくろ			bag; pouch; sack
吸う			すう			to smoke
首			くび			neck
合間			あいま			break; pause; sparemoment
囓る			かじる			to bite; to munch; to nibble
傾げる			かしげる			to tilt; to slant
店内			てんない			inside a shop
他の			ほかの			other; another; the others
姿			すがた			figure; form; shape
便所			べんじょ			toilet; restroom; bathroom
